Net/dataset	dataset_1	dataset_2	dataset_3
Modificado	0.40476613853	0.530173502924	0.640442479005	
Modificado con Finetune	0.468596263673	0.579591327197	0.623932667296	
Modificado Small	0.348475645674	0.436542401683	0.398567535877	
Modificado Small con Finetune	0.384721872718	0.371028208227	0.442368044132	
Normal	0.403773588846	0.507961053073	0.511352236311	
Normal con Finetune	0.482763912592	0.556397001085	0.604277539891	
Normal Small	0.445751156587	0.499623573432	0.508381702959	
Normal Small con Finetune	0.400487754267	0.481173594372	0.489418336626	
