Net/dataset	dataset_1	dataset_2	dataset_3
Modificado	0.146477981682	0.126508146785	0.128572418655	
Modificado con Finetune	0.11810270966	0.104995595116	0.124831699044	
Modificado Small	0.111592169658	0.101903848857	0.1	
Modificado Small con Finetune	0.132563875282	0.147325172598	0.169003169252	
Normal	0.107740929038	0.1	0.121930542	
Normal con Finetune	0.125010616885	0.108511453781	0.108336872295	
Normal Small	0.136711598424	0.12734135821	0.161250924267	
Normal Small con Finetune	0.105841117216	0.102726717727	0.1025	
